CON,CONNAME,COLOUR,CONIMAGE,sizeX,sizeY,posX,posY
ARI,Aries,ffff6000,aries.svg,1,1,0.3,0.3
TAU,Taurus,ff58c035,taurus.svg,1,1,0,0
GEM,Gemini,ff00acec,gemini.svg,1,1,0.5,0.3
CNC,Cancer,ffba00ff,cancer.svg,1,1,0.2,0.4
LEO,Leo,ffe70202,leo.svg,1,1,0.7,0.7
VIR,Virgo,ffeadd00,virgo.svg,1,1,0.5,0.5
LIB,Libra,ffff6000,libra.svg,1,1,0.3,0.3
SCO,Scorpio,ff58c035,scorpio.svg,1,1,0.2,0.5
SGR,Sagittarius,ff00acec,sagittarius.svg,1,1,0.6,0.4
CAP,Capricorn,ffba00ff,capricorn.svg,1,1,0.1,0.8
AQR,Aquarius,ffe70202,aquarius.svg,1,1,0.3,0.2
PSC,Pisces,ffeadd00,pisces.svg,1,1,0.6,0.4
