CON,NAME,RA,DEC,MAG,SEQ,noteNUM,scalename,,,,
ARI,gamma,1.891944,19.2833,4.75,1,27,egyptian,,,,
ARI,beta,1.910833,20.8,2.63,1,29,,,,,
ARI,alpha,2.119444,23.45,2.01,1,30,,,,,
ARI,41,2.833056,27.2667,3.61,1,32,,,,,
TAU,omicron,3.413611,9.0333,3.59,1,1,oriental,,,,
TAU,xi,3.452778,9.7333,3.72,1,2,,,,,
TAU,lambda,4.011111,12.4833,3.41,1,5,,,,,
TAU,gamma,4.33,15.6167,3.63,1,6,,,,,
TAU,theta,4.477778,15.8667,3.41,1,7,,,,,
TAU,alpha,4.598611,16.5,0.86,1,10,,,,,
TAU,zeta,5.6275,21.15,2.98,1,11,,,,,
TAU,beta,5.438056,28.6,1.65,2,13,,,,,
TAU,epsilon,4.476944,19.1833,3.53,2,14,,,,,
TAU,delta,4.382222,17.5333,3.76,2,17,,,,,
TAU,gamma,4.33,15.6167,3.63,2,18,,,,,
TAU,epsilon,4.476944,19.1833,3.53,3,19,,,,,
TAU,eta,3.791389,24.1167,2.87,3,22,,,,,
GEM,alpha,7.576667,31.8833,1.99,1,1,blues minor,,,,
GEM,rho,7.485278,31.7833,4.17,1,4,,,,,
GEM,tau,7.185833,30.25,4.39,1,6,,,,,
GEM,epsilon,6.732222,25.1333,2.99,1,7,,,,,
GEM,mu,6.382778,22.5167,2.89,1,8,,,,,
GEM,eta,6.247778,22.5,3.2,1,11,,,,,
GEM,epsilon,6.732222,25.1333,2.99,2,13,,,,,
GEM,nu,6.482778,20.2167,4.15,2,16,,,,,
GEM,kappa,7.740833,24.4,3.56,3,18,,,,,
GEM,upsilon,7.598889,26.9,4.06,3,19,,,,,
GEM,iota,7.428889,27.8,3.78,3,20,,,,,
GEM,tau,7.185833,30.25,4.39,3,23,,,,,
GEM,theta,6.879722,33.9667,3.6,3,25,,,,,
GEM,beta,7.755278,28.0167,1.15,4,28,,,,,
GEM,upsilon,7.598889,26.9,4.06,4,30,,,,,
GEM,delta,7.335278,21.9833,3.53,4,31,,,,,
GEM,zeta,7.068611,20.5667,4.15,4,32,,,,,
GEM,gamma,6.628611,16.4,1.93,4,35,,,,,
GEM,delta,7.335278,21.9833,3.53,5,37,,,,,
GEM,lambda,7.301667,16.5333,3.57,5,40,,,,,
GEM,xi,6.755,12.9,3.35,5,42,,,,,
CNC,iota,8.778333,28.7667,4.03,1,25,indian,,,,
CNC,gamma,8.721389,21.4667,4.67,1,27,,,,,
CNC,delta,8.744722,18.15,3.93,1,29,,,,,
CNC,beta,8.275278,9.2,3.52,1,30,,,,,
CNC,8,8.084444,13.1167,5.11,1,32,,,,,
CNC,gamma,8.721389,21.4667,4.67,1,33,,,,,
CNC,delta,8.744722,18.15,3.93,2,35,,,,,
CNC,alpha,8.974722,11.8667,4.23,2,37,,,,,
LEO,beta,11.817778,14.5667,2.13,1,1,lydian minor,,,,
LEO,delta,11.235,20.5167,2.56,1,3,,,,,
LEO,60,11.038889,20.1833,4.41,1,5,,,,,
LEO,gamma,10.333056,19.85,1.9,1,7,,,,,
LEO,zeta,10.278333,23.4167,3.43,1,8,,,,,
LEO,mu,9.879444,26.0167,3.89,1,9,,,,,
LEO,kappa,9.410833,26.1833,4.46,1,11,,,,,
LEO,lambda,9.528611,22.9833,4.31,1,13,,,,,
LEO,epsilon,9.764167,23.7667,2.97,1,15,,,,,
LEO,eta,10.122222,16.7667,3.53,1,17,,,,,
LEO,theta,11.2375,15.4333,3.34,1,19,,,,,
LEO,delta,11.235,20.5167,2.56,1,20,,,,,
LEO,epsilon,9.764167,23.7667,2.97,2,21,,,,,
LEO,mu,9.879444,26.0167,3.89,2,23,,,,,
LEO,omicron,9.685833,9.9,3.48,3,25,,,,,
LEO,eta,10.122222,16.7667,3.53,3,27,,,,,
LEO,alpha,10.139444,11.9667,1.35,3,29,,,,,
LEO,31,10.131667,10,4.37,3,31,,,,,
LEO,rho,10.546944,9.3,3.85,4,32,,,,,
LEO,theta,11.2375,15.4333,3.34,4,33,,,,,
LEO,iota,11.398889,10.5333,3.95,4,35,,,,,
LEO,sigma,11.352222,6.0333,4.03,4,37,,,,,
VIR,nu,11.764167,6.5167,4.03,1,1,kumoi,,,,
VIR,beta,11.845,1.7667,3.61,1,4,,,,,
VIR,eta,12.331667,-0.6667,3.88,1,6,,,,,
VIR,gamma,12.694444,-1.45,3.68,1,7,,,,,
VIR,delta,12.926667,3.3833,3.37,1,11,,,,,
VIR,epsilon,13.036389,10.9667,2.83,1,13,,,,,
VIR,gamma,12.694444,-1.45,3.68,2,16,,,,,
VIR,theta,13.165833,-5.5333,4.37,2,18,,,,,
VIR,alpha,13.419722,-11.15,0.97,2,19,,,,,
VIR,iota,14.266944,-6,4.08,2,23,,,,,
VIR,mu,14.7175,-5.65,3.88,2,25,,,,,
VIR,theta,13.165833,-5.5333,4.37,3,28,,,,,
VIR,zeta,13.578333,-0.6,3.36,3,30,,,,,
VIR,tau,14.027222,1.55,4.26,3,31,,,,,
VIR,109,14.770833,1.9,3.73,3,35,,,,,
LIB,sigma,15.067778,-25.2833,3.32,1,21,neapolitan,,,,
LIB,alpha,14.848056,-16.05,2.75,1,22,,,,,
LIB,beta,15.283333,-9.3833,2.61,1,24,,,,,
LIB,gamma,15.592222,-14.7833,3.9,1,26,,,,,
LIB,upsilon,15.616944,-28.1333,3.58,1,28,,,,,
LIB,tau,15.644444,-29.7833,3.65,1,30,,,,,
LIB,gamma,15.592222,-14.7833,3.9,2,32,,,,,
LIB,alpha,14.848056,-16.05,2.75,2,33,,,,,
SCO,upsilon,17.512778,-37.3,2.7,1,1,hirajoshi,,,,
SCO,lambda,17.56,-37.1,1.62,1,5,,,,,
SCO,kappa,17.708056,-39.0333,2.41,1,7,,,,,
SCO,iota,17.793056,-40.1167,3.03,1,8,,,,,
SCO,theta,17.621944,-43,1.86,1,12,,,,,
SCO,eta,17.2025,-43.2333,3.33,1,13,,,,,
SCO,zeta,16.909722,-42.35,3.63,1,17,,,,,
SCO,mu,16.872222,-38.0167,3.56,1,19,,,,,
SCO,epsilon,16.836111,-34.3,2.3,1,20,,,,,
SCO,tau,16.598056,-28.2167,2.83,1,24,,,,,
SCO,alpha,16.490278,-26.4333,1.08,1,25,,,,,
SCO,sigma,16.353333,-25.5833,2.88,1,29,,,,,
SCO,nu,16.2,-19.4667,4,1,31,,,,,
SCO,beta,16.090556,-19.8,2.63,1,32,,,,,
SCO,delta,16.005556,-22.6167,2.3,1,36,,,,,
SCO,sigma,16.353333,-25.5833,2.88,2,37,,,,,
SCO,rho,15.948333,-29.2167,3.88,2,41,,,,,
SCO,pi,15.980833,-26.1167,2.9,2,43,,,,,
SGR,zeta,19.043611,-29.8667,2.6,1,1,diminished,,,,
SGR,tau,19.115556,-27.6667,3.31,1,3,,,,,
SGR,sigma,18.921111,-26.3,2.06,1,4,,,,,
SGR,phi,18.761111,-27,3.18,1,6,,,,,
SGR,zeta,19.043611,-29.8667,2.6,1,7,,,,,
SGR,phi,18.761111,-27,3.18,2,9,,,,,
SGR,lambda,18.466111,-25.4333,2.83,2,10,,,,,
SGR,delta,18.35,-29.8167,2.69,2,12,,,,,
SGR,gamma,18.096667,-30.4333,2.99,2,13,,,,,
SGR,epsilon,18.402778,-34.3833,1.83,2,15,,,,,
SGR,delta,18.35,-29.8167,2.69,2,16,,,,,
SGR,epsilon,18.402778,-34.3833,1.83,3,18,,,,,
SGR,zeta,19.043611,-29.8667,2.6,3,19,,,,,
SGR,alpha,19.398333,-40.6167,3.96,3,21,,,,,
SGR,beta,19.377222,-44.4667,4.01,3,22,,,,,
CAP,delta,21.783889,-16.1333,2.83,1,1,spanish gypsy,,,,
CAP,gamma,21.668056,-16.6667,3.66,1,2,,,,,
CAP,iota,21.370833,-16.8333,4.27,1,5,,,,,
CAP,theta,21.099167,-17.2333,4.06,1,6,,,,,
CAP,beta,20.350278,-14.7833,3.07,1,8,,,,,
CAP,alpha,20.300833,-12.5333,3.56,1,9,,,,,
CAP,iota,21.370833,-16.8333,4.27,2,11,,,,,
CAP,36,21.478611,-21.8167,4.5,2,13,,,,,
CAP,zeta,21.444444,-22.4167,3.74,2,14,,,,,
CAP,theta,21.099167,-17.2333,4.06,2,17,,,,,
CAP,theta,21.099167,-17.2333,4.06,3,18,,,,,
CAP,eta,21.073333,-19.85,4.83,3,20,,,,,
CAP,rho,20.480833,-17.8167,4.77,3,21,,,,,
CAP,beta,20.350278,-14.7833,3.07,3,23,,,,,
CAP,eta,21.073333,-19.85,4.83,4,25,,,,,
CAP,24,21.118889,-25,4.5,4,26,,,,,
CAP,rho,20.480833,-17.8167,4.77,5,29,,,,,
CAP,psi,20.768333,-25.2667,4.13,5,30,,,,,
CAP,omega,20.863611,-26.9333,4.11,5,32,,,,,
AQR,alpha,22.096389,-0.3167,2.93,1,1,chromatic,,,,
AQR,gamma,22.360833,-1.3833,3.84,1,2,,,,,
AQR,eta,22.589167,-0.1167,4.02,1,3,,,,,
AQR,pi,22.421111,1.3667,4.66,1,4,,,,,
AQR,alpha,22.096389,-0.3167,2.93,1,5,,,,,
AQR,beta,21.526111,-5.5833,2.88,1,6,,,,,
AQR,nu,21.16,-11.3833,4.51,1,7,,,,,
AQR,mu,20.877778,-8.9833,4.72,1,8,,,,,
AQR,epsilon,20.794722,-9.5,3.77,1,9,,,,,
AQR,beta,21.526111,-5.5833,2.88,2,10,,,,,
AQR,iota,22.107222,-13.8667,4.26,2,11,,,,,
AQR,alpha,22.096389,-0.3167,2.93,3,12,,,,,
AQR,omicron,22.055278,-2.15,4.75,3,13,,,,,
AQR,theta,22.280278,-7.7833,4.15,3,14,,,,,
AQR,lambda,22.876944,-7.5833,3.76,3,15,,,,,
AQR,phi,23.238889,-6.05,4.22,3,16,,,,,
AQR,psi,23.264722,-9.0833,4.22,3,17,,,,,
AQR,delta,22.910833,-15.8167,3.27,3,18,,,,,
AQR,tau,22.826667,-13.5833,4.01,3,19,,,,,
AQR,lambda,22.876944,-7.5833,3.76,3,20,,,,,
AQR,psi^2,23.298333,-9.1833,4.4,4,21,,,,,
AQR,98,23.382778,-20.1,3.96,4,22,,,,,
AQR,99,23.434167,-20.6333,4.39,4,23,,,,,
AQR,101,23.554722,-20.9167,4.69,4,24,,,,,
AQR,psi^1,23.264722,-9.0833,4.22,5,25,,,,,
AQR,88,23.1575,-21.1667,3.66,5,26,,,,,
AQR,89,23.165,-22.45,4.69,5,27,,,,,
AQR,86,23.111389,-23.75,4.47,5,28,,,,,
PSC,phi,25.229167,24.5833,4.65,1,1,major,,,,
PSC,tau,25.194444,30.1,4.5,1,3,,,,,
PSC,upsilon,25.324444,27.2667,4.76,1,5,,,,,
PSC,phi,25.229167,24.5833,4.65,1,6,,,,,
PSC,eta,25.524722,15.35,3.62,1,8,,,,,
PSC,omicron,25.756667,9.15,4.26,1,9,,,,,
PSC,alpha,26.033889,2.7667,4.33,1,10,,,,,
PSC,xi,25.892778,3.2,4.61,1,11,,,,,
