CON,NAME,RA,DEC,MAG,LINKS,noteNUM,scalename
ARI,gamma,1.891944,19.2833,4.75,beta,27,egyptian
ARI,beta,1.910833,20.8,2.63,gamma-alpha,29,
ARI,alpha,2.119444,23.45,2.01,beta-41,30,
ARI,41,2.833056,27.2667,3.61,alpha,32,
TAU,omicron,3.413611,9.0333,3.59,xi,1,oriental
TAU,xi,3.452778,9.7333,3.72,omicron-lambda,2,
TAU,lambda,4.011111,12.4833,3.41,xi-gamma,5,
TAU,gamma,4.33,15.6167,3.63,lambda-theta-delta,6,
TAU,theta,4.477778,15.8667,3.41,gamma-alpha,7,
TAU,alpha,4.598611,16.5,0.86,theta-zeta,10,
TAU,zeta,5.6275,21.15,2.98,alpha,11,
TAU,beta,5.438056,28.6,1.65,epsilon,13,
TAU,epsilon,4.476944,19.1833,3.53,beta-delta-eta,14,
TAU,delta,4.382222,17.5333,3.76,epsilon-gamma,17,
TAU,eta,3.791389,24.1167,2.87,epsilon,19,
GEM,alpha,7.576667,31.8833,1.99,rho,1,blues minor
GEM,rho,7.485278,31.7833,4.17,alpha-tau,4,
GEM,tau,7.185833,30.25,4.39,rho-epsilon-iota-theta,6,
GEM,epsilon,6.732222,25.1333,2.99,tau-mu-nu,7,
GEM,mu,6.382778,22.5167,2.89,epsilon-eta,8,
GEM,eta,6.247778,22.5,3.2,mu,11,
GEM,nu,6.482778,20.2167,4.15,epsilon,13,
GEM,kappa,7.740833,24.4,3.56,upsilon,16,
GEM,upsilon,7.598889,26.9,4.06,kappa-iota-beta-delta,18,
GEM,iota,7.428889,27.8,3.78,upsilon-tau,19,
GEM,theta,6.879722,33.9667,3.6,tau,20,
GEM,beta,7.755278,28.0167,1.15,upsilon,23,
GEM,delta,7.335278,21.9833,3.53,upsilon-zeta-lambda,25,
GEM,zeta,7.068611,20.5667,4.15,delta-gamma,28,
GEM,gamma,6.628611,16.4,1.93,zeta,30,
GEM,lambda,7.301667,16.5333,3.57,delta-xi,31,
GEM,xi,6.755,12.9,3.35,lambda,32,
CNC,iota,8.778333,28.7667,4.03,gamma,25,indian
CNC,gamma,8.721389,21.4667,4.67,iota-delta-8-delta,27,
CNC,delta,8.744722,18.15,3.93,gamma-beta-alpha,29,
CNC,beta,8.275278,9.2,3.52,delta-8,30,
CNC,8,8.084444,13.1167,5.11,beta-gamma,32,
CNC,alpha,8.974722,11.8667,4.23,delta,33,
LEO,beta,11.817778,14.5667,2.13,delta,1,lydian minor
LEO,delta,11.235,20.5167,2.56,beta-60-theta,3,
LEO,60,11.038889,20.1833,4.41,delta-gamma,5,
LEO,gamma,10.333056,19.85,1.9,60-zeta,7,
LEO,zeta,10.278333,23.4167,3.43,gamma-mu,8,
LEO,mu,9.879444,26.0167,3.89,zeta-kappa-epsilon,9,
LEO,kappa,9.410833,26.1833,4.46,mu-lambda,11,
LEO,lambda,9.528611,22.9833,4.31,kappa-epsilon,13,
LEO,epsilon,9.764167,23.7667,2.97,lambda-eta-mu,15,
LEO,eta,10.122222,16.7667,3.53,epsilon-theta-omicron-alpha,17,
LEO,theta,11.2375,15.4333,3.34,eta-delta-31,19,
LEO,omicron,9.685833,9.9,3.48,eta,20,
LEO,alpha,10.139444,11.9667,1.35,eta-31,21,
LEO,31,10.131667,10,4.37,alpha,23,
LEO,rho,10.546944,9.3,3.85,theta,25,
LEO,iota,11.398889,10.5333,3.95,theta-sigma,27,
LEO,sigma,11.352222,6.0333,4.03,iota,29,
VIR,nu,11.764167,6.5167,4.03,beta,1,kumoi
VIR,beta,11.845,1.7667,3.61,nu-eta,4,
VIR,eta,12.331667,-0.6667,3.88,beta-gamma,6,
VIR,gamma,12.694444,-1.45,3.68,eta-delta-theta,7,
VIR,delta,12.926667,3.3833,3.37,gamma-epsilon,11,
VIR,epsilon,13.036389,10.9667,2.83,delta,13,
VIR,theta,13.165833,-5.5333,4.37,gamma-alpha-zeta,16,
VIR,alpha,13.419722,-11.15,0.97,theta-iota,18,
VIR,iota,14.266944,-6,4.08,alpha-mu,19,
VIR,mu,14.7175,-5.65,3.88,iota,23,
VIR,zeta,13.578333,-0.6,3.36,theta-tau,25,
VIR,tau,14.027222,1.55,4.26,zeta-109,28,
VIR,109,14.770833,1.9,3.73,tau,30,
LIB,sigma,15.067778,-25.2833,3.32,alpha,21,neapolitan
LIB,alpha,14.848056,-16.05,2.75,beta-sigma-gamma,22,
LIB,beta,15.283333,-9.3833,2.61,alpha-gamma,24,
