CON,CONNAME,COLOUR,CONIMAGE,sizeX,sizeY,posX,posY,posZ
ARI,Aries,ffff6000,aries.svg,1,1,0.3,0.3,0
TAU,Taurus,ff58c035,taurus.svg,1,1,0,0,-600
GEM,Gemini,ff00acec,gemini.svg,1,1,0.7,0.7,1000
CNC,Cancer,ffba00ff,cancer.svg,1,1,0.7,0.7,-1000
LEO,Leo,ffe70202,leo.svg,1,1,0.7,0.7,700
VIR,Virgo,ffeadd00,virgo.svg,1,1,0.7,0.7,600
LIB,Libra,ffff6000,libra.svg,1,1,0.7,0.7,-400
SCO,Scorpio,ff58c035,scorpio.svg,1,1,0.7,0.7,1500
SGR,Sagittarius,ff00acec,sagittarius.svg,1,1,0.7,0.7,-2000
CAP,Capricorn,ffba00ff,capricorn.svg,1,1,0.7,0.7,1400
AQR,Aquarius,ffe70202,aquarius.svg,1,1,0.7,0.7,1500
PSC,Pisces,ffeadd00,pisces.svg,1,1,0.7,0.7,-700
